"","SRR31542966","SRR31542965","SRR31542964","SRR31542963","SRR31542962","SRR31542961","SRR31542960","SRR31542959","SRR31542958","SRR31542957","SRR31542956","SRR31542955","SRR31542954","SRR31542953","SRR31542952","SRR31542951","SRR31542950","SRR31542949","SRR31542948","SRR31542947","SRR31542946","SRR31542945","SRR31542944","SRR31542943","SRR31542942","SRR31542941","SRR31542940","SRR31542939","SRR31542938","SRR31542937","SRR31542936","SRR31542935","SRR31542934","SRR31542933","SRR31542932","SRR31542931","SRR31542930","SRR31542929","SRR31542928","SRR31542927","SRR31542926"
"SRR31542948",0.868438542767202,0.866927210002449,0.869677517690227,0.876267486719802,0.87926310537995,0.870970831455119,0.853363312221338,0.859662518094547,0.868217749450431,0.868551386263032,0.86241946630484,0.877851726305167,0.842036122815457,0.87434324318688,0.868434417600615,0.860957861935107,0.837207397772362,0.876377896139226,1,0.873438677070974,0.881782361906733,0.879882627557385,0.801395613465542,0.86512282230365,0.871183204022637,0.877537003922524,0.872692782585229,0.874539679257988,0.881733141716261,0.878398798946787,0.876416126850501,0.877950513174508,0.874312157288282,0.876442521757267,0.871408676183758,0.875189081404402,0.876408706358444,0.868307050228693,0.87462971593059,0.872027432057548,0.866570137917639
"SRR31542947",0.862131567196546,0.854890630924052,0.865188095612506,0.871154349220442,0.87041929250018,0.860431856974588,0.844854078564444,0.856313244520883,0.85693666439763,0.866631792006619,0.850981577977752,0.865115297809494,0.831336223891172,0.873484060108447,0.861125989764742,0.861003692690734,0.829885180835552,0.868273339659481,0.873438677070974,1,0.867269111537481,0.875418318132671,0.798737293060969,0.86541860294731,0.856822096698511,0.872261678495587,0.866119923284087,0.864874947587115,0.882653469008404,0.8775899947857,0.872101727987788,0.866841137934389,0.870591959655881,0.873677146008659,0.877831126488382,0.874072067654622,0.876833520029815,0.862186808700228,0.871622073207549,0.869274683907983,0.870775826778845
"SRR31542946",0.868888156767696,0.87045652824385,0.874172094277241,0.877648900315182,0.885649849926669,0.874947116112809,0.85403693076381,0.863586029953275,0.874860018661861,0.868571735066094,0.866702098071992,0.883308257498325,0.843030523793028,0.876951390026135,0.872848988466989,0.859285304234347,0.836946795723016,0.874413386500467,0.881782361906733,0.867269111537481,1,0.877981564038856,0.79489013782086,0.864051797844173,0.870322309009707,0.875149592368113,0.876129918014146,0.871567530836561,0.879507574163315,0.881528141531658,0.882157831804479,0.883551291129916,0.87641011290747,0.877087838361557,0.869534551085103,0.876747547595425,0.875923848383925,0.867230032546272,0.872331526095167,0.876162994468684,0.868737039304988
"SRR31542945",0.857097350979045,0.859306804677962,0.866261194731932,0.871795016243717,0.874479024829611,0.865290830350212,0.843378148127573,0.85979521483968,0.866300459655285,0.872940508820549,0.862640036986759,0.868885664519695,0.828985299873675,0.870678107157825,0.866921718324597,0.862452711269076,0.833652262153896,0.872391496333048,0.879882627557385,0.875418318132671,0.877981564038856,1,0.802530462052824,0.870044684420741,0.866844987337956,0.882844121302137,0.876302940667563,0.874885826680538,0.883568874666456,0.880919734419366,0.878083413034438,0.875405881506909,0.87706154120883,0.876501801497115,0.873051560626648,0.874367714276076,0.879206449675822,0.868371399933158,0.874779480324366,0.872816168016943,0.870302310227437
"SRR31542944",0.79914870294781,0.79805060448551,0.809615079992236,0.801434441626349,0.801275581102577,0.807827781671853,0.811031032340443,0.808939472318496,0.80683126895191,0.812065945584105,0.80557172732158,0.793986514815127,0.81298866075221,0.802192640651675,0.812123316411901,0.803961618488939,0.825683025347827,0.815271609488038,0.801395613465542,0.798737293060969,0.79489013782086,0.802530462052824,1,0.817175969370696,0.813718840740075,0.811078055120533,0.812644492927594,0.811357358905383,0.799180172507201,0.800009494753351,0.808743145614004,0.797091592141413,0.798590249101817,0.807896728141861,0.801759049335543,0.808643853489742,0.806745288564543,0.812690604386132,0.811073725365384,0.804085921642867,0.812214312518204
"SRR31542943",0.849209342774936,0.854550270881536,0.864063664802698,0.859646684209423,0.862865475309914,0.863437553635735,0.843623699120519,0.857025063969183,0.862023586180837,0.870134565082497,0.864924627267434,0.859019739382854,0.838635499295278,0.863497027376804,0.868976003754588,0.862230742642802,0.852839561530061,0.869920275536303,0.86512282230365,0.86541860294731,0.864051797844173,0.870044684420741,0.817175969370696,1,0.868185093651328,0.873739028798626,0.875535316698237,0.871643865711094,0.868127953356972,0.867559755327806,0.871975363304694,0.857718994687417,0.867022928919056,0.869818371062819,0.866386424591555,0.866980403231283,0.86998224865334,0.872213584661511,0.87371976970649,0.866691712867006,0.871158991132723
"SRR31542942",0.850920880548723,0.861096804138618,0.864123722771335,0.864095626395125,0.866563943591671,0.87410411346398,0.847017060287503,0.856421285022078,0.862349337683185,0.861324668138924,0.869374276749396,0.865569993728559,0.84376821670883,0.862707196331588,0.872931837653141,0.858863129642129,0.855098105732959,0.869160479970742,0.871183204022637,0.856822096698511,0.870322309009707,0.866844987337956,0.813718840740075,0.868185093651328,1,0.873015763385692,0.873166919903629,0.873899503468888,0.870067075672423,0.86672906487375,0.875077766368308,0.863504539750085,0.868070352421044,0.871377778297229,0.858394645677182,0.867032260259911,0.867631857562634,0.870159030712596,0.871352937226298,0.868649787009024,0.866673657395639
"SRR31542941",0.860174426787476,0.863061198792762,0.872268242057526,0.873668520642011,0.874135135293988,0.869553992275405,0.851225254395185,0.863008740559619,0.86950294279122,0.874760030023022,0.866482698664584,0.871183663368292,0.840562573994786,0.872243177471499,0.869203180318632,0.863572734253524,0.843067670133307,0.87806915853162,0.877537003922524,0.872261678495587,0.875149592368113,0.882844121302137,0.811078055120533,0.873739028798626,0.873015763385692,1,0.880496299408509,0.881367989233197,0.88095945009027,0.880210591656671,0.879643540408061,0.875379155033372,0.874487620769287,0.87612305170575,0.87139032473208,0.877170957970277,0.879561126095253,0.875479321128778,0.881942003021583,0.871730311330009,0.872229441324995
"SRR31542940",0.857590575848037,0.862165181482129,0.869730041403999,0.870778059566822,0.874046394338278,0.871260485256212,0.849827418996496,0.863454817626179,0.867943723168736,0.87030038584806,0.86684176433592,0.869407222012365,0.843456951820096,0.87002530015677,0.871841920209303,0.862810890279976,0.848951872428071,0.875845757041517,0.872692782585229,0.866119923284087,0.876129918014146,0.876302940667563,0.812644492927594,0.875535316698237,0.873166919903629,0.880496299408509,1,0.877655010164477,0.875653014895252,0.877294473940382,0.88029808391675,0.869802082097162,0.873976698977954,0.876282872219131,0.872135394885155,0.87524675872537,0.875045846379898,0.87740158215646,0.876975882112703,0.875852008705303,0.875950152281142
"SRR31542939",0.857576853254463,0.862803223141463,0.869401326709631,0.868941908589184,0.870175269867591,0.871208062735062,0.851412191620742,0.858630483864118,0.86957924339145,0.869075501800953,0.867117193232002,0.869952245918084,0.843185564113088,0.86711300031234,0.869634026502416,0.861414382531516,0.849014062393672,0.87570324570512,0.874539679257988,0.864874947587115,0.871567530836561,0.874885826680538,0.811357358905383,0.871643865711094,0.873899503468888,0.881367989233197,0.877655010164477,1,0.877000470168754,0.876290223182111,0.876967379217994,0.871166476757458,0.871982734247124,0.872723439937685,0.866396955604665,0.871446180358205,0.873264343748148,0.871773413162921,0.876674918886978,0.868482840280574,0.867356893350489
"SRR31542938",0.864667260100833,0.86298520083579,0.872161316044381,0.878312284929735,0.878696300985021,0.870883217053033,0.850951209010828,0.861330274223071,0.865514453552934,0.871393072981594,0.86150015890325,0.87447378474006,0.835289449979912,0.878258265430047,0.870497141334608,0.86419279619262,0.833678736045921,0.876564803910475,0.881733141716261,0.882653469008404,0.879507574163315,0.883568874666456,0.799180172507201,0.868127953356972,0.870067075672423,0.88095945009027,0.875653014895252,0.877000470168754,1,0.885617709455809,0.883917522463639,0.879407437447441,0.881233275569088,0.880975319282788,0.879667951855068,0.880775799946957,0.880420164407491,0.868966177337587,0.8762532066846,0.877172055942552,0.875448704802837
"SRR31542937",0.8659056253539,0.866198110988281,0.874034985710276,0.878164909918449,0.879985525174683,0.870423810717286,0.851318137643245,0.86321833149284,0.867523070592568,0.871947222763553,0.862737845459581,0.876454335615397,0.836120065603681,0.875100162689789,0.870238340648136,0.861186436021062,0.833623877299414,0.874320893540603,0.878398798946787,0.8775899947857,0.881528141531658,0.880919734419366,0.800009494753351,0.867559755327806,0.86672906487375,0.880210591656671,0.877294473940382,0.876290223182111,0.885617709455809,1,0.882716756457638,0.880052834340879,0.878166673925023,0.879158636457652,0.875916034050733,0.88059539848388,0.881565858027043,0.872418442512524,0.878377725273057,0.879135044484828,0.874141634446293
"SRR31542936",0.86246327941844,0.868655305543721,0.875474051179092,0.877486588250533,0.879724852547319,0.877550044483242,0.85487441027127,0.865515521972236,0.867877986197326,0.869989278295924,0.866988009082061,0.875137541070355,0.844327564679521,0.87715775769066,0.87928124091814,0.865087150238455,0.846683416115154,0.876732698345592,0.876416126850501,0.872101727987788,0.882157831804479,0.878083413034438,0.808743145614004,0.871975363304694,0.875077766368308,0.879643540408061,0.88029808391675,0.876967379217994,0.883917522463639,0.882716756457638,1,0.875934333067796,0.879124122253177,0.882788282238933,0.873969304921698,0.882458484346816,0.877566360906373,0.873771450646275,0.878553781043467,0.880053045134911,0.87991706950631
"SRR31542935",0.871754627602882,0.867116303667229,0.869631205193133,0.87487027679557,0.879269362141155,0.866716506775642,0.853450061823466,0.85897661929152,0.868202093779502,0.863537168950081,0.855261525028157,0.877195940618903,0.839349728118477,0.873385251828673,0.862024277364428,0.855944605603611,0.828644699328563,0.870367092967582,0.877950513174508,0.866841137934389,0.883551291129916,0.875405881506909,0.797091592141413,0.857718994687417,0.863504539750085,0.875379155033372,0.869802082097162,0.871166476757458,0.879407437447441,0.880052834340879,0.875934333067796,1,0.875269600817054,0.87311054093516,0.871485185482577,0.876316017534032,0.870839981109395,0.862359175192326,0.869118960234999,0.871668463574873,0.863311431192145
"SRR31542934",0.860722363290065,0.863188573637208,0.86696152970177,0.868864663703612,0.873735374548457,0.868431324038627,0.844621350139844,0.856494393860432,0.863384235645792,0.863284935467207,0.860758559822315,0.869450770666663,0.833378654248819,0.879006450093218,0.867437341366532,0.870979657157927,0.837142175158661,0.871877997495235,0.874312157288282,0.870591959655881,0.87641011290747,0.87706154120883,0.798590249101817,0.867022928919056,0.868070352421044,0.874487620769287,0.873976698977954,0.871982734247124,0.881233275569088,0.878166673925023,0.879124122253177,0.875269600817054,1,0.875521483406076,0.875334490449172,0.876206970410905,0.871508485033686,0.867081554221463,0.871361549100946,0.874167392144754,0.870877810910934
"SRR31542933",0.865484092538975,0.866305170129558,0.874124873874093,0.875053605532648,0.881006743241908,0.873271649958809,0.854397320546011,0.865732990185109,0.864967187316416,0.868486516649599,0.862461612753672,0.875103009260507,0.844305670679987,0.875401293025089,0.872459520149515,0.864051042250658,0.842577763189327,0.87545746827618,0.876442521757267,0.873677146008659,0.877087838361557,0.876501801497115,0.807896728141861,0.869818371062819,0.871377778297229,0.87612305170575,0.876282872219131,0.872723439937685,0.880975319282788,0.879158636457652,0.882788282238933,0.87311054093516,0.875521483406076,1,0.877234668593803,0.882226344505645,0.876394724462645,0.870575535969445,0.877074949463486,0.876702751279072,0.875496215809669
"SRR31542932",0.863592742532905,0.859614584964521,0.867510506979313,0.868499966735412,0.873334138962872,0.862323006635151,0.843755404365885,0.858787265917066,0.856577779906575,0.86441075709265,0.851820866339988,0.864784175858921,0.831990590588296,0.871262806249113,0.864801479655944,0.863634644761203,0.830174746241601,0.868960434635248,0.871408676183758,0.877831126488382,0.869534551085103,0.873051560626648,0.801759049335543,0.866386424591555,0.858394645677182,0.87139032473208,0.872135394885155,0.866396955604665,0.879667951855068,0.875916034050733,0.873969304921698,0.871485185482577,0.875334490449172,0.877234668593803,1,0.87473983629545,0.874927082958686,0.867594356291539,0.870723098611357,0.874076097988434,0.873479991554765
