"program","omitted_cohort","k","pooled_rho","ci_low","ci_high","tau2","i2"
"mhc_ii_apc_generic","GSE55235",6,0.172581077492778,-0.0550192690252136,0.38313290072833,0,0
"mhc_ii_apc_generic","GSE55457",6,0.308119336274321,-0.00695271531645211,0.567539067495564,0.0574478274110313,37.1528382788164
"mhc_ii_apc_generic","GSE55584",6,0.267827195172389,-0.050263967674865,0.536586629397598,0.0657408560131314,42.4288334200457
"mhc_ii_apc_generic","GSE82107",6,0.289455856634323,-0.0405164728053174,0.562500234720212,0.0682531228827864,41.2577658214178
"mhc_ii_apc_generic","GSE89408",6,0.200822371931335,-0.131662973776299,0.492693044125039,0.049712649378503,28.6204276340547
"mhc_ii_apc_generic","GSE283079",6,0.335459721149911,-0.00651541442366843,0.607185333549431,0.0544870902566701,27.9848803657312
"t_cell_context","none",7,-0.290208081078402,-0.476099353818007,-0.0794907386482806,0,0
"t_cell_context","GSE206848",6,-0.314899671432302,-0.501121498777644,-0.100804220270808,0,0
"t_cell_context","GSE55235",6,-0.248067311951162,-0.448445673682893,-0.0239471092993464,0,0
"t_cell_context","GSE55457",6,-0.274638469183654,-0.4709376197617,-0.0524250789930437,0,0
"t_cell_context","GSE55584",6,-0.301844938375964,-0.489126108725791,-0.0879576276564738,0,0
"t_cell_context","GSE82107",6,-0.279842235672839,-0.4753128190549,-0.0580449262189505,0,0
"t_cell_context","GSE89408",6,-0.361238318233646,-0.557543571311317,-0.126672915603301,0,0
"t_cell_context","GSE283079",6,-0.240330353303533,-0.486160451402983,0.0407481211421707,0,0
"b_cell_context","none",7,0.0210499365586966,-0.215893533973717,0.255652144607523,0.0106836416194453,9.61242479859427
"b_cell_context","GSE206848",6,0.00742673463939175,-0.254475359601856,0.268313881536306,0.0218371403929019,19.3310207207622
"b_cell_context","GSE55235",6,-0.034590092979835,-0.258037290139418,0.192369677953046,0,0
"b_cell_context","GSE55457",6,0.062403796217334,-0.16538260347401,0.283869430296815,0,0
"b_cell_context","GSE55584",6,0.0319895786291657,-0.240280487269438,0.299593316737999,0.0292051483982869,24.6648201590537
"b_cell_context","GSE82107",6,0.0284328947180446,-0.255097493941791,0.307460826069281,0.0313567205507254,24.3955542194967
"b_cell_context","GSE89408",6,-0.0738937071862879,-0.314003733599038,0.175100446336189,0,0
"b_cell_context","GSE283079",6,0.143018925988557,-0.140944598978557,0.405239051927757,0,0
"myeloid_context","none",7,0.536840322576853,0.193707714213867,0.762945417921337,0.168230659845821,62.6111760402772
"myeloid_context","GSE206848",6,0.523180786303992,0.130515761074377,0.77397014662909,0.198554859431115,68.54236313909
"myeloid_context","GSE55235",6,0.467759264271699,0.0812632885355868,0.731967911760401,0.157989938640669,61.9160985172167
"myeloid_context","GSE55457",6,0.584370530335825,0.214295193411014,0.807735578322464,0.189998092115733,66.1608669327321
"myeloid_context","GSE55584",6,0.53047270783891,0.146095156640251,0.775689900012786,0.196283079526332,68.7540013959487
"myeloid_context","GSE82107",6,0.603491805783899,0.264292604312498,0.809826395753424,0.160575350279783,62.2981017766037
